province,population_total,female_total,male_total,female_15_44,female_20_39
Aceh,5274871,2627308,2647563,1281553,866857
Sumatera Utara,14799361,7377315,7422046,3523876,2381767
Sumatera Barat,5534472,2748112,2786360,1288321,865621
Riau,6394087,3117429,3276658,1564746,1061520
Jambi,3548228,1738213,1810015,862618,584979
Sumatera Selatan,8467432,4147354,4320078,1994694,1353774
Bengkulu,2010670,981533,1029137,484334,328882
Lampung,9007848,4391043,4616805,2119102,1438038
Kepulauan Bangka Belitung,1455678,706130,749548,353518,239362
Kepulauan Riau,2064564,1011268,1053296,524721,359146
Dki Jakarta,10562088,5227307,5334781,2562218,1728383
Jawa Barat,48274162,23765277,24508885,11609631,7833236
Jawa Tengah,36516035,18153892,18362143,8347663,5610485
Di Yogyakarta,3668719,1850792,1817927,796870,532748
Jawa Timur,40665696,20374104,20291592,9230245,6189229
Banten,11904562,5834291,6070271,2943927,2008115
Bali,4317404,2146299,2171105,982664,654454
Nusa Tenggara Barat,5320092,2663884,2656208,1289707,878036
Nusa Tenggara Timur,5325566,2661795,2663771,1255167,853190
Kalimantan Barat,5414390,2630277,2784113,1309944,890485
Kalimantan Tengah,2669969,1284264,1385705,659602,448320
Kalimantan Selatan,4073584,2011201,2062383,962305,650305
Kalimantan Timur,3766039,1804405,1961634,914936,618365
Kalimantan Utara,701814,331164,370650,171626,116151
Sulawesi Utara,2621923,1280005,1341918,584536,393205
Sulawesi Tengah,2985734,1451028,1534706,707127,478544
Sulawesi Selatan,9073509,4568868,4504641,2194446,1472128
Sulawesi Tenggara,2624875,1294281,1330594,637856,431825
Gorontalo,1171681,580332,591349,285562,192386
Sulawesi Barat,1419229,699042,720187,342076,230617
Maluku,1848923,912445,936478,459295,311309
Maluku Utara,1282937,625526,657411,317255,215856
Papua Barat,1134068,536940,597128,286337,197119
Papua,4303707,2008894,2294813,1041987,730655
Papua Barat Daya,0,0,0,0,0
Papua Pegunungan,0,0,0,0,0
Papua Selatan,0,0,0,0,0
Papua Tengah,0,0,0,0,0
