province,gini_2024,density_2021,population_total,female_total,male_total,female_15_44,female_20_39,avg_monthly_nonfood_2024,ump_2020,female_share
Aceh,0.294,92.0,5274871,2627308,2647563,1281553,866857,542298.9452,3165031,0.4980800478343451
Bali,0.348,755.0,4317404,2146299,2171105,982664,654454,1067777.517,2494000,0.49712720885050365
Banten,0.359,1248.0,11904562,5834291,6070271,2943927,2008115,898893.861,2460997,0.4900886735690066
Bengkulu,0.343,102.0,2010670,981533,1029137,484334,328882,691560.7145,2213604,0.48816215490358933
Di Yogyakarta,0.428,1185.0,3668719,1850792,1817927,796870,532748,1010682.829,1704608,0.5044790838437068
Dki Jakarta,0.431,15978.0,10562088,5227307,5334781,2562218,1728383,1686257.487,4276350,0.4949122749213981
Gorontalo,0.413,105.0,1171681,580332,591349,285562,192386,641445.523,2788826,0.4952986350380351
Jambi,0.315,72.0,3548228,1738213,1810015,862618,584979,698833.3457,2630162,0.48988199179985054
Jawa Barat,0.428,1379.0,48274162,23765277,24508885,11609631,7833236,829190.1493,1810351,0.49229807448547735
Jawa Tengah,0.364,1120.0,36516035,18153892,18362143,8347663,5610485,624367.6304,1742015,0.49714849928257543
Jawa Timur,0.373,855.0,40665696,20374104,20291592,9230245,6189229,667795.5921,1768777,0.5010145160186118
Kalimantan Barat,0.314,37.0,5414390,2630277,2784113,1309944,890485,652292.1255,2399699,0.4857937828638129
Kalimantan Selatan,0.298,106.0,4073584,2011201,2062383,962305,650305,734091.7131,2877449,0.4937178170377731
Kalimantan Tengah,0.304,18.0,2669969,1284264,1385705,659602,448320,755447.7312,2903145,0.4810033374919334
Kalimantan Timur,0.31,30.0,3766039,1804405,1961634,914936,618365,1116837.56,2981379,0.4791254153236331
Kalimantan Utara,0.259,9.0,701814,331164,370650,171626,116151,824833.1684,3000804,0.47186861476117603
Kepulauan Bangka Belitung,0.235,90.0,1455678,706130,749548,353518,239362,863932.1701,3230024,0.4850866743881545
Kepulauan Riau,0.357,258.0,2064564,1011268,1053296,524721,359146,1170437.37,3005460,0.48982157976211926
Lampung,0.301,262.0,9007848,4391043,4616805,2119102,1438038,544536.7855,2432002,0.48746859405265275
Maluku,0.291,40.0,1848923,912445,936478,459295,311309,636671.8619,2604961,0.49350081101268145
Maluku Utara,0.296,41.0,1282937,625526,657411,317255,215856,720763.2969,2721530,0.4875734350166844
Nusa Tenggara Barat,0.364,290.0,5320092,2663884,2656208,1289707,878036,547068.3165,2183883,0.5007214160958119
Nusa Tenggara Timur,0.316,111.0,5325566,2661795,2663771,1255167,853190,434589.1266,1950000,0.4998144798130377
Papua,0.405,,4303707,2008894,2294813,1041987,730655,813501.0513,3516700,0.4667822414490578
Papua Barat,0.385,11.0,1134068,536940,597128,286337,197119,806846.1319,3134600,0.4734636723723798
Papua Barat Daya,0.347,14.0,0,0,0,0,0,831867.4411,0,
Papua Pegunungan,0.346,,0,0,0,0,0,570904.3332,0,
Papua Selatan,0.424,,0,0,0,0,0,677615.6783,0,
Papua Tengah,0.355,,0,0,0,0,0,600648.738,0,
Riau,0.306,75.0,6394087,3117429,3276658,1564746,1061520,738936.2251,2888564,0.4875487305693526
Sulawesi Barat,0.33,86.0,1419229,699042,720187,342076,230617,529854.7264,2678863,0.49255053271882127
Sulawesi Selatan,0.36,196.0,9073509,4568868,4504641,2194446,1472128,646426.2546,3103800,0.5035392591774582
Sulawesi Tengah,0.309,49.0,2985734,1451028,1534706,707127,478544,587035.3328,2303711,0.48598703032487156
Sulawesi Tenggara,0.365,70.0,2624875,1294281,1330594,637856,431825,623116.0871,2552015,0.4930829087099386
Sulawesi Utara,0.347,190.0,2621923,1280005,1341918,584536,393205,664509.7592,3310723,0.4881932078096878
Sumatera Barat,0.287,133.0,5534472,2748112,2786360,1288321,865621,683125.2877,2484041,0.4965445664916184
Sumatera Selatan,0.331,93.0,8467432,4147354,4320078,1994694,1353774,577490.4703,3043111,0.4898006857332896
Sumatera Utara,0.306,205.0,14799361,7377315,7422046,3523876,2381767,606687.1505,2499423,0.4984887523184278
