topic,percentage,percentage_norm
Perawatan kulit,100,1.0
Kulit,97,0.9696969696969697
Wajah,11,0.10101010101010101
Natasha,5,0.04040404040404041
Produk,5,0.04040404040404041
Jerawat,5,0.04040404040404041
Krim,4,0.030303030303030304
Pelembap,4,0.030303030303030304
Serum darah,4,0.030303030303030304
Barisan,4,0.030303030303030304
Tabir surya,4,0.030303030303030304
Badan Pengawas Obat dan Makanan,3,0.020202020202020204
Balai Besar Pengawas Obat Dan Makanan,3,0.020202020202020204
Klinik,2,0.010101010101010102
Kosmetik,2,0.010101010101010102
Toner,2,0.010101010101010102
Pembersih wajah,2,0.010101010101010102
Pemutih kulit,2,0.010101010101010102
Keindahan,2,0.010101010101010102
Wardah,2,0.010101010101010102
Eksfoliasi,2,0.010101010101010102
Topeng,2,0.010101010101010102
skintific,1,0.0
G2G,1,0.0
Noda,1,0.0
