province,median_price,avg_price,sold,avg_rating,review,stock,n_listing,band_100–199k,band_200–349k,band_350k+,band_50–99k,band_<50k
Aceh,45000.0,45000.0,48,5.0,5,149,1,0.0,0.0,0.0,0.0,1.0
Bali,54950.0,132976.0,1231,4.133333333333334,423,88,6,1.0,0.0,1.0,2.0,2.0
Banten,82534.0,2981474.3371428573,13905366,4.78,1024396,84444853,350,96.0,33.0,21.0,82.0,118.0
Bengkulu,51097.0,51097.0,12,2.5,1,25,2,0.0,0.0,0.0,1.0,1.0
Di Yogyakarta,87125.0,155245.05555555556,860381,4.674074074074074,105025,841880,54,18.0,4.0,3.0,14.0,15.0
Dki Jakarta,91000.0,214374.0843373494,21605348,4.681726907630522,2526089,12545989,498,105.0,65.0,66.0,106.0,156.0
Gorontalo,65000.0,65000.0,25,3.8,4,6,1,0.0,0.0,0.0,1.0,0.0
Jambi,23655.0,23655.0,15,5.0,1,45,1,0.0,0.0,0.0,0.0,1.0
Jawa Barat,53724.5,126700.80555555556,5258080,4.580158730158731,549677,5507058,252,42.0,27.0,12.0,52.0,119.0
Jawa Tengah,37375.0,49583.54651162791,182671,4.018604651162791,12377,450272,86,9.0,0.0,0.0,18.0,59.0
Jawa Timur,39692.5,82255.15384615384,3749876,4.251709401709402,352548,8209788,234,25.0,7.0,7.0,48.0,147.0
Kalimantan Barat,24800.0,59375.0,933,4.9,167,2339,4,1.0,0.0,0.0,0.0,3.0
Kalimantan Selatan,46500.0,47431.666666666664,17075,3.641666666666667,1084,5695,12,1.0,0.0,0.0,5.0,6.0
Kalimantan Timur,52950.0,71335.0,127,2.49375,50,361,16,2.0,1.0,0.0,5.0,8.0
Lampung,36708.0,61989.05263157895,12337,2.9842105263157896,996,1155,19,4.0,0.0,0.0,2.0,13.0
Maluku,80199.0,80199.0,2965,4.9,1270,45,1,0.0,0.0,0.0,1.0,0.0
Nusa Tenggara Barat,55000.0,55000.0,0,0.0,0,70,2,0.0,0.0,0.0,2.0,0.0
Nusa Tenggara Timur,31325.0,31325.0,9,2.5,3,799,2,0.0,0.0,0.0,0.0,2.0
Riau,34275.0,41532.0,7113,4.3,495,2461,8,0.0,0.0,0.0,2.0,6.0
Sulawesi Selatan,39900.0,45838.08,45347,4.6080000000000005,8064,2277,25,1.0,0.0,0.0,6.0,18.0
Sulawesi Utara,122500.0,122500.0,3,5.0,2,12,2,1.0,0.0,0.0,1.0,0.0
Sumatera Barat,41500.0,30793.0,150,1.6666666666666667,38,272,3,0.0,0.0,0.0,0.0,3.0
Sumatera Selatan,34737.5,51053.125,3553,4.2875,511,2586,16,1.0,1.0,0.0,2.0,12.0
Sumatera Utara,43149.5,49775.954545454544,103944,4.668181818181818,18621,9373,22,2.0,0.0,0.0,6.0,14.0
,28700.0,27371.666666666668,19179,3.266666666666667,2341,1658,3,,,,,
