Province,Average Monthly Per Capita Expenditure on Non-food 2011,Average Monthly Per Capita Expenditure on Non-food 2012,Average Monthly Per Capita Expenditure on Non-food 2013,Average Monthly Per Capita Expenditure on Non-food 2014,Average Monthly Per Capita Expenditure on Non-food 2015,Average Monthly Per Capita Expenditure on Non-food 2016,Average Monthly Per Capita Expenditure on Non-food 2017,Average Monthly Per Capita Expenditure on Non-food 2018,Average Monthly Per Capita Expenditure on Non-food 2019,Average Monthly Per Capita Expenditure on Non-food 2020,Average Monthly Per Capita Expenditure on Non-food 2021,Average Monthly Per Capita Expenditure on Non-food 2022,Average Monthly Per Capita Expenditure on Non-food 2023,Average Monthly Per Capita Expenditure on Non-food 2024
Aceh,224798,227968,255543,273015,336764,356 142,373833.0382,426149.2722,434133.6199,484536.4084,494227.9192,511651.9502,523428.8266,542298.9452
Sumatera Utara,248222,254593,292770,300335,360624,381 537,387051.2831,446955.1231,487640.8284,526007.9228,534905.0957,552569.8958,597751.7538,606687.1505
Sumatera Barat,282009,290521,337956,351576,422275,447 789,469758.2406,543759.4223,555620.6081,590197.4548,613628.9612,626723.5357,664354.3948,683125.2877
Riau,368685,404040,411298,433141,510187,528 018,517536.3422,587899.3608,611497.7544,672372.5757,670527.5883,694345.285,751404.6963,738936.2251
Jambi,262589,286641,305275,317342,412239,439 908,430864.6371,496432.4578,508445.1765,536516.2691,566506.9975,598816.2011,703176.0603,698833.3457
Sumatera Selatan,218859,290035,290119,339793,351483,393 348,417173.8073,466781.0954,459889.8113,486893.9345,517375.557,528080.1872,562206.4658,577490.4703
Bengkulu,237717,235436,306290,321685,397815,447 410,467579.8522,558899.0774,553926.6479,566575.0906,558299.0809,570274.8254,653392.1003,691560.7145
Lampung,228662,233840,259226,287666,358838,376 444,381353.4967,444185.7878,444224.2241,470447.7179,490615.0347,499314.7571,575138.135,544536.7855
Kepulauan Bangka Belitung,345039,400200,448605,495751,539290,615 498,639949.0103,709094.0244,758333.4102,730722.5253,748970.1516,772658.0773,847753.1064,863932.1701
Kepulauan Riau,473543,527422,591696,696748,742641,783 597,805333.6385,826447.9354,989093.3603,973096.6943,1027089.418,985478.6481,1126172.382,1170437.37
DKI Jakarta,898019,884071,925160,1085089,1157945,1 184 441,1199617.992,1191309.828,1278663.585,1313304.39,1412496.631,1572026.477,1735819.726,1686257.487
Jawa Barat,311118,310270,354946,413592,471012,506 063,540570.554,617111.5591,637135.9422,669121.589,695276.4909,729004.429,805834.0619,829190.1493
Jawa Tengah,234132,239459,277792,306173,365211,385 115,405708.5454,477690.3404,486982.1871,522314.2897,529599.8552,548985.7498,608377.7183,624367.6304
DI Yogyakarta,348721,373055,423630,444796,563591,636 958,649917.7717,773648.7266,793280.6508,832692.7715,823248.1096,851529.7188,1009427.9,1010682.829
Jawa Timur,240683,243014,284790,320664,449479,443 221,461939.9178,503316.9219,533284.5642,542804.7797,555211.1506,564290.2796,666078.1081,667795.5921
Banten,365364,349359,379454,445242,548390,602 867,628887.4406,711628.0805,724059.5489,760370.8714,766363.4043,789460.9202,896235.0291,898893.861
Bali,459132,554979,559852,606730,623568,633 569,762916.8481,767056.3985,777972.3972,834520.0542,840152.0514,832754.4346,1011767.653,1067777.517
Nusa Tenggara Barat,195940,234901,231092,269134,313465,350 529,363435.7287,393107.839,489587.1022,515561.3924,559650.0992,493696.0282,549640.4269,547068.3165
Nusa Tenggara Timur,161451,168451,191846,225504,235710,264 315,282232.3041,301832.2821,321195.1007,351661.1058,372106.4374,403352.913,444700.3359,434589.1266
Kalimantan Barat,274022,261683,305193,366581,356668,409 006,409666.3828,493138.287,519227.1525,540803.9942,559766.881,566552.3287,650509.1902,652292.1255
Kalimantan Tengah,267100,310905,366590,405540,425928,498 464,513357.7127,591813.7955,636442.4518,657370.0729,682681.2879,679661.2998,738234.7523,755447.7312
Kalimantan Selatan,326116,371527,373123,423726,485707,516 120,545568.8983,600227.6057,621460.0279,659478.416,682572.4045,679758.0589,709389.5305,734091.7131
Kalimantan Timur,488554,498538,588592,611364,644291,709 006,780393.3667,857449.3072,893217.3375,963725.4828,982145.6493,984037.8502,1095206.209,1116837.56
Kalimantan Utara,0,0,0,0,533332,608 307,636486.1361,742960.6433,738194.9214,801795.6703,811875.9264,811754.8836,892357.508,824833.1684
Sulawesi Utara,311543,342066,375941,399039,394149,472 520,511880.2712,601014.1289,582727.706,621777.2627,598707.8084,562591.426,644219.427,664509.7592
Sulawesi Tengah,251815,270612,327732,339112,377066,422 730,437362.071,465823.5278,478032.3159,518938.3213,539396.4933,521939.9884,571211.671,587035.3328
Sulawesi Selatan,246083,266914,296559,314078,387580,452 140,477290.3275,520779.0388,534484.3088,541681.0574,570614.6743,576387.9513,655370.8662,646426.2546
Sulawesi Tenggara,239546,260151,281806,308698,344281,434 835,443862.721,512252.7299,546074.5582,531059.6868,560769.9359,576546.8467,611287.6401,623116.0871
Gorontalo,260141,272686,303937,305658,340889,393 591,456383.5526,475801.8896,549905.8606,592212.634,616060.8413,608535.2534,637927.4501,641445.523
Sulawesi Barat,156289,180012,198103,237973,284601,328 356,328683.051,385717.1951,395586.2664,436701.4206,439349.3529,464029.0276,506415.887,529854.7264
Maluku,281304,276893,312764,360381,373623,414 623,418826.7174,474411.1697,495020.7114,551786.0746,576419.3251,580343.1661,642860.1049,636671.8619
Maluku Utara,247990,276389,270377,334419,368679,395 791,440060.2419,503588.1626,511838.8509,555218.2631,572438.0952,543423.9157,656471.9288,720763.2969
Papua Barat,382488,345772,389924,456479,517436,526 777,570859.837,631186.8123,700836.9134,707070.0359,749177.8484,724650.6802,824422.9796,806846.1319
Papua Barat Daya,0,0,0,0,0,0,0,0,0,0,0,0,0,831867.4411
Papua,225626,246100,296036,212753,356371,411 795,441507.4374,500709.3747,549426.5938,585893.3586,575598.2105,596214.236,643933.5847,813501.0513
Papua Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,677615.6783
Papua Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,600648.738
Papua Pegunungan,0,0,0,0,0,0,0,0,0,0,0,0,0,570904.3332
