Time,Skincare_Search_Interst
45480,78
45487,75
45494,73
45501,74
45508,66
45515,69
45522,64
45529,65
45536,67
45543,66
45550,72
45557,76
45564,75
45571,85
45578,84
45585,87
45592,74
45599,67
45606,77
45613,69
45620,72
45627,69
45634,66
45641,74
45648,100
45655,84
45662,76
45669,67
45676,80
45683,72
45690,71
45697,60
45704,65
45711,70
45718,64
45725,66
45732,63
45739,71
45746,71
45753,84
45760,66
45767,63
45774,66
45781,57
45788,63
45795,57
45802,64
45809,56
45816,63
45823,63
45830,60
45837,63
45844,61
45851,61
